Nome scuola,Indirizzo,Grado,Forma,Sito
Scuola Primaria G.B. Angelini,Via Cesare Pavese 6 37014 Castelnuovo del Garda VR,Primaria,Pubblica,https://www.scuolacastelnuovodg.edu.it/index.php?idpag=1624 
'Scuola Dell''Infanzia Xi Aprile 1848',Via Cesare Pavese 10 37014 Castelnuovo del Garda VR,Infanzia,Privata,https://www.infanziacastelnuovo.it/ 
Asilo Nido Comunale Castelfiorito,Via Cesare Pavese 8 37014 Castelnuovo del Garda VR,Asilo nido,Pubblica,https://www.linfanzia.it/servizi-offerti/asilo-nido-castelfiorito/ 
'Scuola dell''Infanzia SS. Innocenti Sandrà',Via Don L. Milani 2 37014 Sandrà VR,Infanzia,Privata,https://ssinnocenti.wordpress.com/ 
Scuola Primaria Pietro Caliari,P. Repubblica 3 37014 Sandrà VR,Primaria,Pubblica,https://www.ic16verona.edu.it/pagine/scuola-p-caliari 
Scuola Primaria San Lorenzo,Piazza Berto Barbarani 1 37014 Cavalcaselle VR,Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE837025/scuola-primaria-san-lorenzo/ 
Scuola Materna Don Giuseppe Manganotti,Piazza Berto Barbarani 3 37014 Cavalcaselle VR,Infanzia,Privata,https://www.scuolamanganotti.com/ 
Asilo Nido La Pigotta,'Via dell''Artigliere 2 37014 Castelnuovo del Garda VR',Infanzia,Privata,https://www.facebook.com/100057139522739/ 
Istituto Comprensivo A. Montini,Viale degli studi 1 37014 Castelnuovo del Garda VR,Secondaria I Grado,Pubblica,https://www.scuolacastelnuovodg.edu.it/ 
