Nome scuola,Indirizzo,Grado,Forma,Sito
Scuola Primaria “Negri di Sanfront” di Pastrengo,Via 1° Maggio 1 - Pastrengo (VR) Italy  ,Primaria,Pubblica,https://iccavaion.edu.it/primaria-pastrengo 
Scuola Secondaria di 1°grado “Negri di Sanfront” di Pastrengo,Via 1° Maggio 1 - Pastrengo (VR) Italy  ,Secondaria I Grado,Pubblica,https://iccavaion.edu.it/primaria-pastrengo 
