Nome scuola,Indirizzo,Grado,Forma,Sito
"Istituto Comprensivo Statale ""Graziella Murari""",VIA BERTO BARBARANI 4 Valeggio sul Mincio,Secondaria I Grado,Pubblica,https://icvaleggio.edu.it/ 
"Istituto Comprensivo Statale ""Graziella Murari""",VIA BERTO BARBARANI 4 Valeggio sul Mincio,Primaria,Pubblica,https://icvaleggio.edu.it/ 
Scuola Infanzia Parrocchiale,Via G. Marconi 22 Valeggio sul mincio,Infanzia,Privata,https://www.scuolaparrocchialevaleggio.it/ 
"Scuola Infanzia Statale ""Gasilda Poli"" Di Salionze",Via A. del Bue 1 Valeggio sul mincio,Infanzia,Pubblica,https://www.comune.valeggiosulmincio.vr.it/it/page/scuole-dell-infanzia 
'Scuola Infanzia Statale Ca'' Prato','Via Ca'' Prato Valeggio sul mincio',Infanzia,Pubblica,https://icvaleggio.edu.it/ca-prato 
Scuola Infanzia Statale Valeggio Sul Mincio,Via degli Alpini 1 Valeggio sul mincio',Infanzia,Pubblica,https://www.comune.valeggiosulmincio.vr.it/it/page/scuole-dell-infanzia 
GattoNando,Via degli Alpini 3 Valeggio sul mincio',Asilo nido,Pubblica,https://www.tangramvaleggio.it/asilo-nido-valeggio-gattonando/ 
Gli Gnomi,Loc. Vanoni-Remelli 56 Valeggio sul mincio',Asilo nido,Pubblica,http://www.gli-gnomi.com/chi-siamo/ 
Ipsar Luigi Carnacina ,Via Trieste 27 37067 Valeggio sul Mincio VR,Secondaria II Grado,Pubblica,https://www.carnacina.edu.it/ 
