Nome scuola,Indirizzo,Grado,Forma,Sito
"Micronido ""Oasi del sorriso""",Via Cesare Battisti n. 3A,Asilo nido,Privata,https://www.oasidelsorriso-vigasio.it/ 
"Asilo nido ""Il piccolo puzzle""",Via San Martino n. 14,Asilo nido,Privata,https://www.facebook.com/IlPiccoloPuzzle/?locale=it_IT 
Fondazione Don Gedeone Massaggia,Via Asilo n.7,Infanzia,Privata,https://www.donmassaggia.it/ 
"Scuola Materna ""Maria Ausiliatrice""",Via San Martino n. 16,Infanzia,Privata,https://www.infanziavillatora.it/ 
Scuola Materna di Isolalta,Via Villafranca n. 76,Infanzia,Privata,http://www.scuolainfanziaisolalta.it/la-scuola/ 
Scuola materna statale Arcobaleno,Viale Bassini n. 1,Infanzia,Pubblica,https://www.icvigasio.edu.it/ 
Scuola primaria Italo Montemezzi,Viale Bassini n. 4,Primaria,Pubblica,https://www.icvigasio.edu.it/ 
Scuola secondaria di primo grado di Vigasio,Viale Bassini n. 6,Secondaria I Grado,Pubblica,https://www.icvigasio.edu.it/ 
