Nome scuola,Indirizzo,Grado,Forma,Sito
I.C. Falcone Borsellino - Scuola Primaria Valerio Catullo,Via Salvo D'Acquisto 22 Lazise,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/BSMM8AA01R/valerio-catullo/ 
I.C. Falcone Borsellino - Scuola secondaria 1° grado Nazario Sauro,Via Salvo D'Acquisto 22 Lazise,Secondaria I Grado,Pubblica,http://www.icnazariosauro.edu.it/ 
I.C. Falcone Borsellino - Scuola Primaria ,Via M. Montessori 2 Colà di Lazise,Primaria,Pubblica,https://www.aziendit.com/aziende/scuola-primaria-di-cola-lazise-via-montessori-2 
Scuola dell'Infanzia Giandanese Bernini,Via Prà del Principe Lazise,Infanzia,Privata,https://www.giandanesebernini.com/ 
Scuola dell'Infanzia San Giorgio Martire,Via dei Miniscalchi Colà di Lazise,Infanzia,Privata,https://scuolainfanziacola.it/ 
Scuola dell'Infanzia Mater Amabilis,Via Porto Pacengo,Infanzia,Privata,https://www.maternanidopacengo.it/ 
Nido Integrato Mater Amabilis,Via Porto Pacengo,Asilo nido,Privata,https://www.maternanidopacengo.it/ 
Asilo Nido Il Girasole,Via Pergole Lazise,Asilo nido,Privata,https://www.asilonidoilgirasole.it/ 
